"P_Name";"P_Type"
"ALTER SESSION";"Account"
"CREATE CLUSTER";"Account"
"CREATE DATABASE";"Account"
"CREATE SESSION";"Account"
"CREATE TABLE";"Account"
"DELETE";"Relation"
"DROP DATABASE";"Account"
"INSERT";"Relation"
"MODIFY TABLE";"Relation"
"SELECT";"Relation"
"UPDATE";"Relation"
